KHV_42	HG01598	EAS
KHV_43	HG02141	EAS
KHV_44	HG02140	EAS
KHV_45	HG01857	EAS
KHV_46	HG02113	EAS
KHV_47	HG02020	EAS
KHV_48	HG02019	EAS
KHV_49	HG01840	EAS
KHV_50	HG01843	EAS
KHV_51	HG01858	EAS
KHV_52	HG01859	EAS
KHV_53	HG01866	EAS
KHV_54	HG02121	EAS
KHV_55	HG02057	EAS
KHV_56	HG01595	EAS
KHV_57	HG02061	EAS
KHV_58	HG01848	EAS
KHV_59	HG01599	EAS
KHV_60	HG01849	EAS
KHV_61	HG02048	EAS
KHV_62	HG01860	EAS
KHV_63	HG01864	EAS
KHV_64	HG01867	EAS
KHV_65	HG01846	EAS
KHV_66	HG02016	EAS
KHV_67	HG02142	EAS
KHV_68	HG01869	EAS
KHV_69	HG02060	EAS
KHV_70	HG02069	EAS
KHV_71	HG02127	EAS
KHV_72	HG02067	EAS
KHV_73	HG02025	EAS
KHV_74	HG01863	EAS
KHV_75	HG02017	EAS
KHV_76	HG02116	EAS
KHV_77	HG01855	EAS
KHV_78	HG01862	EAS
KHV_79	HG02513	EAS
KHV_80	HG02081	EAS
KHV_81	HG02130	EAS
KHV_82	HG02079	EAS
KHV_83	HG01868	EAS
KHV_84	HG02026	EAS
KHV_85	HG02078	EAS
KHV_86	HG02082	EAS
KHV_87	HG01844	EAS
KHV_88	HG02139	EAS
KHV_89	HG01850	EAS
KHV_90	HG02075	EAS
KHV_91	HG02085	EAS
KHV_92	HG02049	EAS
KHV_93	HG02029	EAS
KHV_94	HG01842	EAS
KHV_95	HG02058	EAS
KHV_96	HG02133	EAS
KHV_97	HG02521	EAS
KHV_98	HG02047	EAS
KHV_99	HG02088	EAS
CEU_1	NA12812	EUR
CEU_2	NA12813	EUR
CEU_3	NA12761	EUR
CEU_4	NA12154	EUR
CEU_5	NA12399	EUR
CEU_6	NA12546	EUR
CEU_7	NA12156	EUR
CEU_8	NA11881	EUR
CEU_9	NA11831	EUR
CEU_10	NA07048	EUR
CEU_11	NA12275	EUR
CEU_12	NA12751	EUR
CEU_13	NA12155	EUR
CEU_14	NA12286	EUR
CEU_15	NA11920	EUR
CEU_16	NA12872	EUR
CEU_17	NA12249	EUR
CEU_18	NA11830	EUR
CEU_19	NA12347	EUR
CEU_20	NA12716	EUR
CEU_21	NA12348	EUR
CEU_22	NA12760	EUR
CEU_23	NA11843	EUR
CEU_24	NA12763	EUR
CEU_25	NA12778	EUR
CEU_26	NA12342	EUR
CEU_27	NA11995	EUR
CEU_28	NA06989	EUR
CEU_29	NA12890	EUR
CEU_30	NA11931	EUR
CEU_31	NA12748	EUR
CEU_32	NA11894	EUR
CEU_33	NA11829	EUR
CEU_34	NA11992	EUR
CEU_35	NA12815	EUR
CEU_36	NA12043	EUR
CEU_37	NA12749	EUR
CEU_38	NA12003	EUR
CEU_39	NA12383	EUR
CEU_40	NA12829	EUR
CEU_41	NA06984	EUR
CEU_42	NA06985	EUR
CEU_43	NA12044	EUR
CEU_44	NA12234	EUR
CEU_45	NA12874	EUR
CEU_46	NA10851	EUR
CEU_47	NA12004	EUR
CEU_48	NA07347	EUR
CEU_49	NA07357	EUR
CEU_50	NA12776	EUR
CEU_51	NA12272	EUR
CEU_52	NA12283	EUR
CEU_53	NA12341	EUR
CEU_54	NA06994	EUR
CEU_55	NA12046	EUR
CEU_56	NA12489	EUR
CEU_57	NA11919	EUR
CEU_58	NA11930	EUR
CEU_59	NA12878	EUR
CEU_60	NA11840	EUR
CEU_61	NA12830	EUR
CEU_62	NA12282	EUR
CEU_63	NA07051	EUR
CEU_64	NA11892	EUR
CEU_65	NA12889	EUR
CEU_66	NA11918	EUR
CEU_67	NA11994	EUR
CEU_68	NA12005	EUR
CEU_69	NA11893	EUR
CEU_70	NA12775	EUR
CEU_71	NA12843	EUR
